_id,bathroom_num,bedroom_num,bizcircle_name,city,dist,distance,hall_num,house_tag,house_title,latitude,layout,longitude,m_url,rent_price_listing,rent_price_unit,rent_type,resblock_name,type
5c9f784f118dacbcd7cdaabb,1,1,潞苑,北京,通州,,1,集中供暖 新上 随时看房,华龙小区 1室1厅 3000元,39.934643,1室1厅1卫,116.695201,https://m.lianjia.com/chuzu/bj/zufang/BJ2219601329544757248.html,3000,元/月,200600000000,华龙小区,整租
5c9f7e26118dacbcd7cdd864,2,3,顺义其它,北京,顺义,,1,精装 集中供暖 双卫生间 随时看房,整租 · 中国铁建顺鑫汇 4房间2卫 5000元,40.093026,4房间2卫,116.671838,https://m.lianjia.com/chuzu/bj/zufang/BJ2107175751894966272.html,5000,元/月,200600000001,中国铁建顺鑫汇,整租
5c9f7e52118dacbcd7cdd9ab,2,2,长阳,北京,房山,,2,精装 双卫生间,整租 · 加州水郡三期 2室2厅 3800元,39.775174,2室2厅2卫,116.170059,https://m.lianjia.com/chuzu/bj/zufang/BJ2214488971361394688.html,3800,元/月,200600000001,加州水郡三期,整租
5c9f734d118dacbcd7cd7f69,1,3,军博,北京,海淀,2,1,近地铁 集中供暖,有色金属院 3室1厅 9000元,39.912199,3室1厅1卫,116.331217,https://m.lianjia.com/chuzu/bj/zufang/BJ2211343963716059136.html,9000,元/月,200600000000,有色金属院,整租
5c9f751f118dacbcd7cd8f78,1,1,草桥,北京,丰台,782,0,近地铁 集中供暖,整租 · 玺萌丽苑简装开间 家具家电齐全,39.856204,1室0厅1卫,116.369971,https://m.lianjia.com/chuzu/bj/zufang/BJ2209105246373298176.html,4200,元/月,200600000001,玺萌丽苑,整租
5c9f7beb118dacbcd7cdc81f,1,2,天宫院南,北京,大兴,,1,集中供暖 新上,一品嘉园 2室1厅 2700元,39.676405,2室1厅1卫,116.423115,https://m.lianjia.com/chuzu/bj/zufang/BJ2223075842685140992.html,2700,元/月,200600000000,一品嘉园,整租
5c9f7943118dacbcd7cdb30a,1,1,武夷花园,北京,通州,,0,精装 集中供暖 随时看房,整租 · 月亮城堡 1室0厅 3500元,39.925912,1室0厅1卫,116.685667,https://m.lianjia.com/chuzu/bj/zufang/BJ2141252080076062720.html,3500,元/月,200600000001,月亮城堡,整租
5c9f6bf3118dacbcd7cd3dda,1,2,陶然亭,北京,西城,276,1,近地铁 集中供暖,中信沁园 2室1厅 13000元,39.892118,2室1厅1卫,116.384071,https://m.lianjia.com/chuzu/bj/zufang/BJ2200736330680909824.html,13000,元/月,200600000000,中信沁园,整租
5c9f7824118dacbcd7cda92b,1,1,果园,北京,通州,,0,精装 集中供暖 随时看房,整租 · 巴克摩界 1室0厅 3400元,39.894325,1室0厅1卫,116.648559,https://m.lianjia.com/chuzu/bj/zufang/BJ2151863063362674688.html,3400,元/月,200600000001,巴克摩界,整租
5c9f7969118dacbcd7cdb472,1,2,新华大街,北京,通州,1156,1,集中供暖 新上 随时看房,新城南关 2室1厅 3600元,39.90622,2室1厅1卫,116.663053,https://m.lianjia.com/chuzu/bj/zufang/BJ2220219903032696832.html,3600,元/月,200600000000,新城南关,整租
5c9f6ef0118dacbcd7cd58d1,1,2,朝阳公园,北京,朝阳,709,1,近地铁,整租 · 朝阳公园 南十里居 双阳台两居室,39.961829,2室1厅1卫,116.503578,https://m.lianjia.com/chuzu/bj/zufang/BJ2210708042159497216.html,6000,元/月,200600000001,南十里居,整租
5c9f7502118dacbcd7cd8ea0,2,3,北京南站,北京,丰台,,1,集中供暖 双卫生间,整租 · 迦南大厦 3室1厅 13800元,39.874481,3室1厅2卫,116.372672,https://m.lianjia.com/chuzu/bj/zufang/BJ2159093564938919936.html,13800,元/月,200600000001,迦南大厦,整租
5c9f7520118dacbcd7cd8f84,2,4,草桥,北京,丰台,630,2,近地铁 集中供暖 双卫生间 随时看房,整租 · 玺萌公馆 4室2厅 11000元,39.847982,4室2厅2卫,116.370049,https://m.lianjia.com/chuzu/bj/zufang/BJ2088892371805937664.html,11000,元/月,200600000001,玺萌公馆,整租
5c9f7f34118dacbcd7cde1d4,1,3,冯村,北京,门头沟,,1,集中供暖 随时看房,整租 · 冯村信园小区简单装修两居室..,39.914611,3室1厅1卫,116.115366,https://m.lianjia.com/chuzu/bj/zufang/BJ2145554605911064576.html,2800,元/月,200600000001,冯村信园小区,整租
5c9f7b7e118dacbcd7cdc5f5,1,1,黄村中,北京,大兴,713,1,近地铁 集中供暖 新上,兴政东里 1室1厅 3600元,39.733387,1室1厅1卫,116.350565,https://m.lianjia.com/chuzu/bj/zufang/BJ2219481814060236800.html,3600,元/月,200600000000,兴政东里,整租
5c9f7761118dacbcd7cda241,1,1,鲁谷,北京,石景山,852,1,近地铁 集中供暖 新上 随时看房,万达广场 2房间1卫 5000元,39.912107,2房间1卫,116.232004,https://m.lianjia.com/chuzu/bj/zufang/BJ2208600587069825024.html,5000,元/月,200600000000,万达广场,整租
5c9f6f68118dacbcd7cd5cf5,1,2,大山子,北京,朝阳,237,1,近地铁 集中供暖,整租 ·   大山子南里 两居室 装修好 看房随时 基本方便,39.98922,2室1厅1卫,116.491458,https://m.lianjia.com/chuzu/bj/zufang/BJ2213041352734941184.html,7300,元/月,200600000001,大山子西里,整租
5c9f72c5118dacbcd7cd7aee,1,1,燕莎,北京,朝阳,788,1,近地铁 精装 集中供暖 新上,整租 ·   远洋新干线  三元国际公寓  精装一居室   业主出费,39.963231,1室1厅1卫,116.46615,https://m.lianjia.com/chuzu/bj/zufang/BJ2221689915433811968.html,11000,元/月,200600000001,远洋新干线,整租
5c9f7122118dacbcd7cd6b45,1,2,芍药居,北京,朝阳,224,1,精装 集中供暖 新上 随时看房,整租 ·   10号线、13号线地铁  距离地铁200米,39.983438,2室1厅1卫,116.440157,https://m.lianjia.com/chuzu/bj/zufang/BJ2219562236433661952.html,7500,元/月,200600000001,芍药居2号院,整租
