,comments
376,你看这个面它又长又宽，就像这个碗它又大又圆
377,你看这个面它又长又宽，就像这个碗它又大又圆
378,你看这个面它又长又宽
379,1.25回来
380,吴亦凡对不起
381,吴亦凡对不起
382,欢迎回来。1.25新世纪
383,对不起
384,这个加拿大人的“badgirl”…
385,注入灵魂
386,前方高能
387,凡哥我错了
388,1
389,222222
390,出不去了
391,吴亦凡进来挨夸
392,吊，好听，出不去了，真的
393,？？
394,粉了
395,吴亦凡对不起
396,凡哥对不起
397,又一个押韵狂魔哈哈哈哈哈
398,大家好，我是吴亦凡
399,每天一遍
400,666
401,充电一下
402,好好听
403,大声讲对不住亦凡哥！讲到我听到为止！
404,凡哥对不起
405,666
406,800万
407,800走着
408,skr
409,晚上吃面
410,亦凡哥对不起
411,凡哥对不起
412,1.25是真的有毒啊哈哈哈哈
413,第10086遍
414,800w助攻！
415,❤❤❤
416,再来一遍！
417,凡哥错了
418,凡哥，对不起
419,都给我道歉
420,没有弹幕？？
421,祝我期中考试前30名
422,凡哥，对不起
423,前方高能
424,51凡对不起
425,凡哥我来了
426,蔡徐坤出来挨打
427,凡哥，对不起
428,还不错，就是感觉副歌少了点高潮，旋律再激昂高亢点就更棒了
429,凡哥牛逼!
430,凡哥对不起
431,凡哥真男人!
432,好听诶，越听越好听，这歌有毒
433,凡哥nb
434,听了好想哭
435,好听好听，凡哥nb
436,凡哥对不起
437,哈哈哈哈哈哈
438,爱了
439,亦凡哥有丶东西
440,这歌真洗脑
441,800万助攻
442,电粉去隔壁演唱会让你爽
443,凡哥对不起
444,神奇了
445,再来亿遍
446,别去轻易否定自己
447,对不起对不起
448,心疼你
449,凡哥对不起
450,大型道歉现场
451,1.5倍速听着有种欢乐斗地主的感觉
452,抗着电鳗哈哈哈哈哈哈哈
453,出来挨夸！！！
454,挨夸！！！
455,Krisn b
456,凡哥有点东西
457,哈
458,吴亦凡对不起
459,前方核能
460,对不起吴亦凡哥哥
461,注入灵魂
462,凡哥，对不起
463,对不起，非凡哥！
464,前面的bad girl也很好听！！！不许再说我们白的狗！！！听听演唱会上的啊！！！嗨死你 谁再黑我们白的狗！！！去听演唱会啊啊啊这个最嗨哈哈哈因为只有这个鲵都跟得上
465,6666
466,skr
467,凡哥牛壁，不说了一波666刷起来
468,1.25新天地好听的
469,真的路转粉
470,你看这个面它又长又宽，就像这个碗它又大又圆
471,面粉应援曲
472,800w助攻
473,800w冲呀
474,大家说好听是真心话吗？
475,吴亦凡对不起
476,道歉可以，不要抢演唱会门票
477,每天一遍
478,凡哥这态度真的可以我先瑞思白
479,吴亦凡对不起
480,祝我期中三科90
481,表白凡凡
482,黑转路+路转粉=黑转粉
483,666666666666
484,不是粉，泪目了
485,skr skr
486,就散了吧
487,为什么要道歉？？？？
488,凡哥，对不起
489,skr
490,上头
491,吴亦凡对不起
492,凡哥对不起
493,最后亿遍
494,真的好听也
495,凡哥真男人
496,凡哥对不起
497,。
498,对唔住亦凡哥
499,❤❤❤❤❤❤❤❤❤❤❤
500,阿伟出来死一下
501,1.25倍真棒
502,凡哥真男人
503,果断路转粉
504,吴亦凡是第一个能让阿伟死的华语歌手
505,对唔住亦凡哥
506,awsl
507,凡哥对不起
508,这歌真的洗脑
509,好听呀
510,来谢罪了
511,你看这个面他又长又宽，就像这个碗他又大又圆
512,对不起凡哥
513,吴亦凡对不起
514,凡哥对不起＞人＜
515,啊啊啊啊啊啊啊啊黑转粉！！
516,助攻800w
517,凡哥对不起
518,凡哥对不起
519,1.25.真的好听
520,凡哥对不起！！！
521,I tried it every time at 0. 5-2
522,凡凡，好棒
523,上头，真上头
524,前方高能
525,凡哥祝我期中考好!
526,1.25倍好评
527,片头见，再来亿遍
528,专门来找蛋仔保佐抢到重庆站的票！
529,吴亦凡
530,对唔住，亦凡哥
531,凡哥对不起
532,1111111
533,吴亦凡对不起！！！
534,黑轉粉
535,.3
536,对不起 非凡哥
537,凡哥对不起
538,凡哥对不起
539,你是洗不白的skr吴，加拿大电慢
540,6666
541,凡哥对不起
542,再来亿遍
543,爱了爱了
544,凡哥
545,词写的不错
546,超棒的
547,棒棒棒
548,很好了
549,冲鸭！！！！
550,凡凡牛逼（破音）
551,凡哥，对不起
552,凡哥对不起！！！
553,凡凡棒棒棒棒棒棒棒棒棒棒棒棒
554,对不起！吴亦凡！
555,日常听歌
556,感谢弹幕提醒。1.25倍速打开新天地，好听到爆。
557,黑转路路转粉
558,这歌有毒 进来就出不去了
559,我都会唱了
560,吴亦凡对不起
561,凡哥对不起
562,凡哥对不起
563,日刷
564,凡哥要大火了
565,800w助攻
566,咳咳
567,看到我饿了，居然
568,嗯
569,1.25中毒了
570,对不起我们错了
571,你看这个面它又长又宽。就像这个碗它又大又圆
572,真好
573,吴亦凡对不起！！
574,挺好听的
575,凡哥对不起！！！
576,800万助攻
577,你看这个面它又长又宽，就像这个碗它又大又圆
578,凡哥，我又来了
579,这歌挺好听的
580,1.25好听
581,你看这个面他又长又宽，就像这个碗它又大又圆
582,你看着碗又大又圆
583,挺好听
584,凡哥对不起
585,粉了粉了
586,好听
587,超可爱的凡凡
588,"1,25"
589,好听！
590,kksk
591,牛皮
592,凡哥，我来了
593,哈哈哈每天的快乐源泉
594,路转粉
595,对不起非凡哥
596,凡哥对不起
597,凡哥对不起
598,对唔起，亦凡哥
599,凡凡好样的！
600,我来了！！！！
601,哇哇哇哇哇哇哇哇
602,哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇哇
603,来一碗裤带油泼面
604,吴亦凡对不起
605,woc.13
606,再来亿遍，凡哥对唔住
607,还特姆有点好听！
608,凡哥，对唔住
609,要八百万了
610,1.25好听
611,隔壁某菜来学学人家
612,你看这个面它又长又宽，就像这个碗它又大又圆
613,凡哥牛逼
614,1.25好听        1.25好听        1.25好听
615,3:28秒核能
